Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,421,0,390.0,578.8022648457951,108.71939999924507,5629.720899989479,558704.4964370546,7.209946909649472,0.0,390,520,670,760,1100,1700,2500,4100,5600,5600,5600
,Aggregated,421,0,390.0,578.8022648457951,108.71939999924507,5629.720899989479,558704.4964370546,7.209946909649472,0.0,390,520,670,760,1100,1700,2500,4100,5600,5600,5600
