Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,472,0,180.0,292.03557309310935,103.38499999488704,4750.148699997226,559294.5572033898,8.085920706409905,0.0,180,230,280,320,420,590,1400,3400,4800,4800,4800
,Aggregated,472,0,180.0,292.03557309310935,103.38499999488704,4750.148699997226,559294.5572033898,8.085920706409905,0.0,180,230,280,320,420,590,1400,3400,4800,4800,4800
