Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764197987,20,POST,/predict,7.500000,0.000000,300,410,470,510,770,880,1000,1000,1000,1000,1000,101,0,300.0,464.69584356438446,108.0587999895215,3204.7192999889376,558094.7326732674
1764197987,20,,Aggregated,7.500000,0.000000,300,410,470,510,770,880,1000,1000,1000,1000,1000,101,0,300.0,464.69584356438446,108.0587999895215,3204.7192999889376,558094.7326732674
1764197988,20,POST,/predict,7.700000,0.000000,320,440,510,560,770,880,1000,1000,1000,1000,1000,109,0,310.0,460.8676642200316,108.0587999895215,3204.7192999889376,558170.9541284404
1764197988,20,,Aggregated,7.700000,0.000000,320,440,510,560,770,880,1000,1000,1000,1000,1000,109,0,310.0,460.8676642200316,108.0587999895215,3204.7192999889376,558170.9541284404
1764197989,20,POST,/predict,7.900000,0.000000,330,440,510,560,720,770,1000,1000,1000,1000,1000,119,0,310.0,449.43667226886777,108.0587999895215,3204.7192999889376,558028.3361344538
1764197989,20,,Aggregated,7.900000,0.000000,330,440,510,560,720,770,1000,1000,1000,1000,1000,119,0,310.0,449.43667226886777,108.0587999895215,3204.7192999889376,558028.3361344538
1764197990,20,POST,/predict,8.300000,0.000000,320,440,510,560,720,770,1000,1000,1000,1000,1000,127,0,300.0,431.9610433068858,108.0587999895215,3204.7192999889376,558332.6377952755
1764197990,20,,Aggregated,8.300000,0.000000,320,440,510,560,720,770,1000,1000,1000,1000,1000,127,0,300.0,431.9610433068858,108.0587999895215,3204.7192999889376,558332.6377952755
1764197991,20,POST,/predict,8.400000,0.000000,290,400,440,470,540,590,650,720,720,720,720,134,0,300.0,427.3239014922848,108.0587999895215,3204.7192999889376,557944.8358208955
1764197991,20,,Aggregated,8.400000,0.000000,290,400,440,470,540,590,650,720,720,720,720,134,0,300.0,427.3239014922848,108.0587999895215,3204.7192999889376,557944.8358208955
1764197992,20,POST,/predict,8.700000,0.000000,310,420,450,500,570,700,770,850,850,850,850,145,0,320.0,437.7461620687772,108.0587999895215,3204.7192999889376,558026.448275862
1764197992,20,,Aggregated,8.700000,0.000000,310,420,450,500,570,700,770,850,850,850,850,145,0,320.0,437.7461620687772,108.0587999895215,3204.7192999889376,558026.448275862
1764197993,20,POST,/predict,8.600000,0.000000,330,430,460,500,570,700,770,850,850,850,850,154,0,330.0,432.24996233738085,108.0587999895215,3204.7192999889376,558203.1818181818
1764197993,20,,Aggregated,8.600000,0.000000,330,430,460,500,570,700,770,850,850,850,850,154,0,330.0,432.24996233738085,108.0587999895215,3204.7192999889376,558203.1818181818
1764197994,20,POST,/predict,8.400000,0.000000,380,450,500,530,610,730,800,850,850,850,850,164,0,330.0,434.89496829254387,108.0587999895215,3204.7192999889376,558135.2865853659
1764197994,20,,Aggregated,8.400000,0.000000,380,450,500,530,610,730,800,850,850,850,850,164,0,330.0,434.89496829254387,108.0587999895215,3204.7192999889376,558135.2865853659
1764197995,20,POST,/predict,8.600000,0.000000,370,440,500,510,610,730,800,850,850,850,850,173,0,320.0,424.08815028882424,108.0587999895215,3204.7192999889376,557960.8959537572
1764197995,20,,Aggregated,8.600000,0.000000,370,440,500,510,610,730,800,850,850,850,850,173,0,320.0,424.08815028882424,108.0587999895215,3204.7192999889376,557960.8959537572
1764197996,20,POST,/predict,8.300000,0.000000,360,440,500,530,610,730,800,850,850,850,850,178,0,300.0,416.2373679773123,108.0587999895215,3204.7192999889376,557847.4213483146
1764197996,20,,Aggregated,8.300000,0.000000,360,440,500,530,610,730,800,850,850,850,850,178,0,300.0,416.2373679773123,108.0587999895215,3204.7192999889376,557847.4213483146
1764197997,20,POST,/predict,8.700000,0.000000,350,450,530,550,610,770,800,850,850,850,850,187,0,330.0,425.8311700532966,108.0587999895215,3204.7192999889376,557803.4759358289
1764197997,20,,Aggregated,8.700000,0.000000,350,450,530,550,610,770,800,850,850,850,850,187,0,330.0,425.8311700532966,108.0587999895215,3204.7192999889376,557803.4759358289
1764197998,20,POST,/predict,8.800000,0.000000,380,490,540,580,770,800,960,980,980,980,980,190,0,330.0,433.45624052614625,108.0587999895215,3204.7192999889376,557682.6368421053
1764197998,20,,Aggregated,8.800000,0.000000,380,490,540,580,770,800,960,980,980,980,980,190,0,330.0,433.45624052614625,108.0587999895215,3204.7192999889376,557682.6368421053
1764197999,20,POST,/predict,8.800000,0.000000,440,550,620,730,960,1300,1600,1700,1700,1700,1700,200,0,340.0,466.18432699964615,108.0587999895215,3204.7192999889376,557835.865
1764197999,20,,Aggregated,8.800000,0.000000,440,550,620,730,960,1300,1600,1700,1700,1700,1700,200,0,340.0,466.18432699964615,108.0587999895215,3204.7192999889376,557835.865
1764198000,20,POST,/predict,8.200000,0.000000,510,620,760,790,990,1300,1600,1700,1700,1700,1700,208,0,370.0,479.337354326652,108.0587999895215,3204.7192999889376,557927.4326923077
1764198000,20,,Aggregated,8.200000,0.000000,510,620,760,790,990,1300,1600,1700,1700,1700,1700,208,0,370.0,479.337354326652,108.0587999895215,3204.7192999889376,557927.4326923077
1764198001,20,POST,/predict,8.200000,0.000000,500,610,700,790,990,1300,1600,1700,1700,1700,1700,213,0,370.0,476.0443807508252,108.0587999895215,3204.7192999889376,558080.9765258216
