Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,476,0,190.0,240.9953915971031,106.88110000046436,1037.397799998871,559867.1638655462,8.252075674338723,0.0,190,250,310,340,430,510,630,720,1000,1000,1000
,Aggregated,476,0,190.0,240.9953915971031,106.88110000046436,1037.397799998871,559867.1638655462,8.252075674338723,0.0,190,250,310,340,430,510,630,720,1000,1000,1000
