Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,446,0,380.0,444.2215029143983,108.0587999895215,3204.7192999889376,558941.9394618834,7.664881439091255,0.0,380,480,560,610,800,960,1400,1700,3200,3200,3200
,Aggregated,446,0,380.0,444.2215029143983,108.0587999895215,3204.7192999889376,558941.9394618834,7.664881439091255,0.0,380,480,560,610,800,960,1400,1700,3200,3200,3200
